City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,susuman,62.7833,148.1667,-1.68,82,5,1.34,RU,1696297361
266,meizhou,24.2977,116.1072,29.54,71,53,1.58,CN,1696297361
267,acajutla,13.5928,-89.8275,27.5,83,58,1.34,SV,1696297361
268,la libertad,-2.2333,-80.9,22.03,81,30,4.86,EC,1696297361
269,sur,22.5667,59.5289,29.89,44,16,2.23,OM,1696297316
270,el granada,37.5027,-122.4694,21.01,80,100,8.23,US,1696297267
271,hirara,24.8,125.2833,30.15,84,75,6.17,JP,1696297362
272,sola,-13.8833,167.55,24.27,92,100,11.23,VU,1696297362
273,san antonio de pale,-1.4014,5.6325,25.43,84,100,5.38,GQ,1696297256
274,aioun,16.6614,-9.6149,33.74,14,100,3.26,MR,1696297362
275,queenstown,-31.8976,26.8753,17.07,40,0,2.52,ZA,1696297362
276,portland,45.5234,-122.6762,14.5,94,100,5.36,US,1696296884
277,tafuna,-14.3358,-170.72,27.97,89,100,9.26,AS,1696297363
278,san matias,-16.3667,-58.4,30.1,42,30,2.24,BO,1696297363
279,udachny,66.4167,112.4,-3.64,73,74,3.61,RU,1696297250
280,ilula,-7.6766,36.0366,13.58,87,92,2.94,TZ,1696297363
281,melekeok village,7.4957,134.6367,30.31,74,75,3.09,PW,1696297363
282,mersa matruh,31.3525,27.2453,22.11,68,40,5.14,EG,1696297363
283,naantali,60.4674,22.0243,12.43,94,75,3.6,FI,1696297363
284,humen,22.819,113.6731,28.95,72,14,1.35,CN,1696297363
285,bikenibeu village,1.3673,173.1241,31.98,70,40,3.09,KI,1696297364
286,sao joaquim,-28.2939,-49.9317,5.95,98,31,1.31,BR,1696297069
287,berlin,52.5244,13.4105,18.88,86,0,1.54,DE,1696296881
288,bom jesus da lapa,-13.255,-43.4181,30.21,36,76,3.02,BR,1696297339
289,mirpur sakro,24.5474,67.6277,25.56,79,2,3.73,PK,1696297364
290,prince george,53.9166,-122.753,11.69,79,40,1.54,CA,1696297276
291,tual,-5.6667,132.75,26.49,86,24,5.82,ID,1696297364
292,colby,39.3958,-101.0524,26.03,51,0,9.77,US,1696297309
